player_name,events,zone,p_throws,hit_location,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,hc_x,hc_y
Dae-Ho Lee,Single,5,L,9,0,2,null,null,null,0,2,189.84,118.34
Dae-Ho Lee,Double,4,L,7,1,1,null,null,null,2,2,50.75,83.76
Dae-Ho Lee,Double,9,L,8,0,0,null,429664,443558,1,7,153.29,67.48
Dae-Ho Lee,Double,1,R,7,1,0,null,null,null,1,5,39.58,103.59
Dae-Ho Lee,Single,8,R,7,0,0,null,null,572122,1,6,85.27,104.1
Dae-Ho Lee,Single,5,R,9,1,0,null,572122,null,1,2,194.92,60.87
Dae-Ho Lee,Single,9,R,8,0,0,null,null,null,1,2,104.05,99.52
Dae-Ho Lee,Double,1,R,7,1,2,null,null,null,1,4,40.6,109.7
Dae-Ho Lee,Single,1,L,7,0,0,null,null,null,2,5,75.63,115.29
Dae-Ho Lee,Single,9,R,9,1,1,429664,443558,572122,2,1,169.54,99.52
Dae-Ho Lee,Single,9,R,9,3,1,null,null,452234,2,1,181.72,109.7
Dae-Ho Lee,Single,1,L,7,1,2,null,null,null,0,2,83.75,103.09
Dae-Ho Lee,Single,1,L,8,1,2,null,429711,443558,2,1,115.09,74.15
Dae-Ho Lee,Home Run,5,L,8,3,2,null,null,null,1,2,100.5,20.68
Dae-Ho Lee,Single,1,L,8,0,2,null,null,null,0,2,130.96,91.89
Dae-Ho Lee,Single,2,R,9,2,2,null,null,null,0,5,155.32,123.43
Dae-Ho Lee,Single,6,R,6,3,2,null,null,null,0,7,122.34,127.67
Dae-Ho Lee,Home Run,5,R,7,1,0,572122,null,452252,1,8,61.93,40.18
Dae-Ho Lee,Single,5,L,9,1,2,null,null,443558,0,2,162.95,123.6
Dae-Ho Lee,Single,8,L,9,0,1,606466,452234,429664,2,7,180.72,112.41
Dae-Ho Lee,Single,9,L,9,0,1,null,null,null,1,4,195.44,120.55
Dae-Ho Lee,Single,5,R,7,0,0,null,null,null,2,7,84.27,124.62
Dae-Ho Lee,Home Run,6,R,9,0,0,null,null,null,1,6,178.5,40.78
Dae-Ho Lee,Single,5,R,5,2,1,null,null,572122,2,6,91.88,166.33
Dae-Ho Lee,Single,9,L,6,0,1,null,null,455104,1,5,95.94,154.12
Dae-Ho Lee,Single,7,R,8,2,2,null,null,null,0,7,108.13,98.17
Dae-Ho Lee,Single,9,L,7,1,0,null,null,null,2,2,79.7,99.19
Dae-Ho Lee,Single,4,L,6,2,2,null,null,null,0,5,100.51,111.39
Dae-Ho Lee,Home Run,9,L,8,1,0,null,null,null,0,5,103.67,21.85
Daniel Robertson,Single,1,L,8,1,1,null,null,null,1,5,143.14,101.56
Daniel Robertson,Single,9,R,9,1,0,null,452234,null,2,8,177.66,119.87
Franklin Gutierrez,Single,6,L,5,0,0,null,null,null,1,1,124.61,199.86
Franklin Gutierrez,Single,5,L,7,0,0,null,null,628338,0,1,81.72,103.09
Franklin Gutierrez,Home Run,8,L,8,3,1,null,null,592325,0,1,120.3,12.04
